ArX_Smiles,Acid_Smiles,additives,product,rxn,objective
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,C#CC(=O)c1ccccc1,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.C#CC(=O)c1ccccc1>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,2087.58941
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,C#CC1(O)CCCCC1,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.C#CC1(O)CCCCC1>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,12863.62192
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,C#CCCCCO,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.C#CCCCCO>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,11655.72811
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,C#CCCCc1ccccc1,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.C#CCCCc1ccccc1>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,9471.78623
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,C#Cc1ncccn1,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.C#Cc1ncccn1>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,0.0
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,NC(=O)C(F)(F)F,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.NC(=O)C(F)(F)F>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,18972.15609
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,N#CCS(N)(=O)=O,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.N#CCS(N)(=O)=O>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,17618.41463
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,NC(=O)CC(N)=O,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.NC(=O)CC(N)=O>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,15216.19534
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,NC(=O)CC(=O)O,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.NC(=O)CC(=O)O>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,12653.31348
CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)Br,CCCCCC(=O)O,O=C(O)C(O)CO,CCCCCc1ccc-2c(c1)C(=O)N(Cc3n2cnc3C(=O)OCC)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CCCCCC(=O)O.O=C(O)C(O)CO>>CCCCCc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,12347.42096
